"","location_id","year","sitc_eci","hs_eci","growth_proj","sitc_eci_rank","hs_eci_rank","code"
"1",2,1995,-2.00122332572937,-2.14836716651917,NA,"127",217,"AGO"
"2",2,1996,-2.12086701393127,-2.14446091651917,NA,"129",215,"AGO"
"3",2,1997,-1.80033040046692,-1.42486989498138,NA,"127",204,"AGO"
"4",2,1998,-1.75673818588257,-1.6502286195755,NA,"127",206,"AGO"
"5",2,1999,-1.70336961746216,-1.38456439971924,NA,"124",202,"AGO"
"6",2,2000,-1.85762584209442,-1.91265869140625,NA,"131",227,"AGO"
"7",2,2001,-2.14086222648621,-1.44094848632812,NA,"132",219,"AGO"
"8",2,2002,-1.59753668308258,-1.86859261989594,NA,"130",229,"AGO"
"9",2,2003,-1.88418936729431,-1.9302693605423,NA,"132",228,"AGO"
"10",2,2004,-0.872460424900055,-0.937311708927155,4.46,"105",188,"AGO"
"11",2,2005,-1.92044258117676,-1.60964059829712,2.98,"131",223,"AGO"
"12",2,2006,-2.08297848701477,-2.04957866668701,2.89,"133",230,"AGO"
"13",2,2007,-2.02681303024292,-1.65046167373657,2.74,"133",224,"AGO"
"14",2,2008,-1.87318909168243,-2.15611457824707,2.77,"132",229,"AGO"
"15",2,2009,-1.44058907032013,-0.821761727333069,2.74,"127",186,"AGO"
"16",2,2010,-1.71240103244781,-1.21784210205078,2.56,"130",213,"AGO"
"17",2,2011,-1.488694190979,-1.12071895599365,2.82,"126",210,"AGO"
"18",2,2012,-1.33189857006073,-1.29804635047913,2.81,"121",218,"AGO"
"19",2,2013,-1.14338171482086,-1.02855503559113,3.3,"117",199,"AGO"
"20",2,2014,-1.43101918697357,-1.66586196422577,2.39,"125",228,"AGO"
"21",2,2015,-1.38342845439911,-1.64019525051117,5.14,"125",225,"AGO"
"22",2,2016,-1.36806011199951,-1.27383291721344,3.66,"125",213,"AGO"
"23",2,2017,-1.82203650474548,-1.66902852058411,3.28,"132",227,"AGO"
"24",4,1995,-0.560129582881927,-0.417942374944687,NA,"88",147,"ALB"
"25",4,1996,-0.389979064464569,-0.282615482807159,NA,"79",132,"ALB"
"26",4,1997,-0.364674746990204,-0.294791877269745,NA,"78",126,"ALB"
"27",4,1998,-0.346785038709641,-0.312851697206497,NA,"80",131,"ALB"
"28",4,1999,-0.269458055496216,-0.178164795041084,NA,"71",120,"ALB"
"29",4,2000,-0.129702135920525,-0.0513795800507069,NA,"70",119,"ALB"
"30",4,2001,-0.199870109558105,-0.0722705721855164,NA,"73",126,"ALB"
"31",4,2002,-0.0571106448769569,-0.0697257667779922,NA,"65",128,"ALB"
"32",4,2003,-0.136868804693222,-0.0718253180384636,NA,"71",123,"ALB"
"33",4,2004,-0.181274443864822,-0.107215330004692,2.92,"72",126,"ALB"
"34",4,2005,-0.357544660568237,-0.131712049245834,2.53,"79",131,"ALB"
"35",4,2006,-0.352527797222137,-0.299534499645233,2.25,"81",150,"ALB"
"36",4,2007,-0.321764558553696,-0.207430794835091,2.53,"74",137,"ALB"
"37",4,2008,0.440836846828461,0.333470612764359,3.75,"45",98,"ALB"
"38",4,2009,0.671398937702179,0.571020185947418,3.95,"39",79,"ALB"
"39",4,2010,-0.424175053834915,-0.533498466014862,2.02,"85",168,"ALB"
"40",4,2011,-0.367793828248978,-0.378703981637955,2.08,"80",151,"ALB"
"41",4,2012,-0.345828324556351,-0.343161433935165,2.25,"82",151,"ALB"
"42",4,2013,-0.418615579605103,-0.503155469894409,2.21,"85",164,"ALB"
"43",4,2014,-0.412180423736572,-0.504058480262756,1.83,"82",165,"ALB"
"44",4,2015,-0.510838806629181,-0.498986631631851,2.67,"88",162,"ALB"
"45",4,2016,-0.478577196598053,-0.50183492898941,3.73,"86",160,"ALB"
"46",4,2017,-0.288838654756546,-0.352235794067383,3.31,"78",155,"ALB"
"47",7,1995,-0.21004194021225,-0.0803118944168091,NA,"70",115,"ARE"
"48",7,1996,-0.322793245315552,-0.157919451594353,NA,"78",119,"ARE"
"49",7,1997,-0.387259304523468,-0.0242850687354803,NA,"79",114,"ARE"
"50",7,1998,-0.216628268361092,-0.26590621471405,NA,"72",125,"ARE"
"51",7,1999,-0.286905884742737,-0.065885104238987,NA,"74",116,"ARE"
"52",7,2000,-0.494648337364197,-0.427770286798477,NA,"86",147,"ARE"
"53",7,2001,-0.344013392925262,-0.205591842532158,NA,"78",140,"ARE"
"54",7,2002,-0.177929624915123,-0.194820031523705,NA,"76",137,"ARE"
